Game Matchup,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,Projected Home Goals,Projected Away Goals,Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability
Bayer Leverkusen vs. Hoffenheim,1.22,16.0,8.71,1.22,10.0,7.25,0.0,-0.38,-0.17,3.0402357578463053,0.7563528507363837,3.796588608582689,82.27%,6.25%,11.48%
Bayern Munich vs. Borussia Dortmund,1.3,10.3,7.59,1.43,5.75,5.6,0.1,-0.44,-0.26,3.162120498960842,1.082340123179967,4.244460622140808,77.12%,9.71%,13.17%
Borussia M.Gladbach vs. Freiburg,1.87,4.28,4.32,2.25,2.95,3.7,0.2,-0.31,-0.14,1.846070421967224,1.1449265956475698,2.9909970176147933,53.51%,23.35%,23.14%
Eintracht Frankfurt vs. Union Berlin,1.85,4.72,4.03,2.05,3.75,3.45,0.11,-0.21,-0.14,1.6598140810557804,0.9393885838741628,2.599202664929943,54.04%,21.17%,24.79%
RasenBallsport Leipzig vs. Mainz 05,1.35,9.25,6.52,1.4,7.0,5.2,0.03,-0.24,-0.2,2.605244304529705,0.90213908190096,3.5073833864306647,73.85%,10.81%,15.34%
Werder Bremen vs. Wolfsburg,2.56,3.12,3.47,2.6,2.55,3.6,0.02,-0.18,0.04,1.2137869987082246,1.0463564027920136,2.260143401500238,39.13%,32.08%,28.79%
Augsburg vs. FC Cologne,1.81,4.41,4.52,1.74,4.5,4.0,-0.04,0.02,-0.11,1.945261743780172,1.195501683324836,3.140763427105008,55.17%,22.69%,22.14%
Bochum vs. Darmstadt,1.34,9.94,6.62,1.67,4.7,4.2,0.25,-0.53,-0.37,2.6173363481712237,0.8624317365671127,3.479768084738336,74.84%,10.06%,15.10%
VfB Stuttgart vs. FC Heidenheim,1.16,19.96,11.07,1.29,8.75,6.0,0.11,-0.56,-0.46,3.325825272897724,0.7587719931198467,4.084597266017571,85.96%,5.01%,9.03%
Aston Villa vs. Wolverhampton Wanderers,1.64,4.88,5.43,1.65,4.8,4.3,0.01,-0.02,-0.21,2.4335779489540954,1.37674718179734,3.810325130751435,61.07%,20.51%,18.42%
Bournemouth vs. Everton,2.54,2.75,4.12,2.15,3.25,3.6,-0.15,0.18,-0.13,1.5899303154303863,1.504632180549732,3.0945624959801186,39.42%,36.30%,24.28%
Brentford vs. Manchester United,2.25,2.9,4.75,2.95,2.2,3.85,0.31,-0.24,-0.19,2.0019287800281678,1.6848203873866312,3.6867491674147983,44.45%,34.50%,21.05%
Chelsea vs. Burnley,1.32,12.27,6.31,1.3,8.5,6.0,-0.01,-0.31,-0.05,2.566466249838984,0.7233116804942454,3.289777930333229,75.99%,8.15%,15.86%
Newcastle United vs. West Ham,1.41,7.03,6.63,1.83,3.8,4.1,0.29,-0.46,-0.38,3.040199093657532,1.3810833626282517,4.421282456285784,70.68%,14.23%,15.09%
Nottingham Forest vs. Crystal Palace,2.04,4.25,3.65,2.25,3.2,3.45,0.1,-0.25,-0.06,1.3834185777208483,0.8342885735960069,2.217707151316856,49.09%,23.54%,27.37%
Sheffield United vs. Fulham,3.4,2.1,4.35,4.4,1.71,4.2,0.3,-0.19,-0.03,1.338408156250069,1.7694634559716496,3.1078716122217185,29.45%,47.56%,22.99%
Tottenham vs. Luton,1.3,9.03,8.45,1.23,10.0,7.0,-0.05,0.11,-0.17,3.6005619275014857,1.419109976146151,5.0196719036476365,77.08%,11.08%,11.84%
Liverpool vs. Brighton,1.37,8.28,6.59,1.38,6.75,5.4,0.0,-0.18,-0.18,2.6919008920225416,1.0223053568784148,3.7142062489009566,72.75%,12.08%,15.17%
Manchester City vs. Arsenal,3.46,2.51,3.2,1.95,3.75,3.75,-0.44,0.49,0.17,0.8910538629760364,1.0912720666590623,1.982325929635099,28.90%,39.82%,31.28%
Fiorentina vs. AC Milan,2.69,2.54,4.25,2.75,2.55,3.4,0.02,0.0,-0.2,1.5500935748218534,1.6167036770519545,3.166797251873808,37.13%,39.32%,23.55%
Genoa vs. Frosinone,2.29,3.27,3.9,1.95,3.8,3.6,-0.15,0.16,-0.08,1.516402068861826,1.232942559830044,2.74934462869187,43.73%,30.60%,25.67%
Lazio vs. Juventus,3.99,2.17,3.47,3.05,2.45,3.15,-0.24,0.13,-0.09,0.8859613051350816,1.2919654369950044,2.177926742130086,25.08%,46.13%,28.79%
Napoli vs. Atalanta,2.04,3.68,4.21,2.1,3.35,3.65,0.03,-0.09,-0.13,1.7098166976944975,1.1794067284130818,2.8892234261075798,49.07%,27.20%,23.73%
Torino vs. Monza,1.77,6.01,3.74,1.83,4.5,3.5,0.03,-0.25,-0.06,1.4412363956950651,0.6400387656573396,2.081275161352405,56.61%,16.65%,26.74%
Bologna vs. Salernitana,1.29,14.81,6.47,1.3,10.0,5.6,0.01,-0.32,-0.13,2.286966388867373,0.5202773970073404,2.807243785874713,77.80%,6.75%,15.45%
Cagliari vs. Verona,1.84,4.43,4.36,2.2,3.45,3.25,0.2,-0.22,-0.25,1.727337589788087,1.0248409971956067,2.752178586983693,54.47%,22.58%,22.95%
Inter vs. Empoli,1.28,12.89,7.09,1.23,11.0,6.75,-0.04,-0.15,-0.05,2.5626828469113447,0.668404692847712,3.2310875397590566,78.14%,7.76%,14.10%
Lecce vs. Roma,4.24,1.85,4.47,4.2,1.87,3.6,-0.01,0.01,-0.19,1.172258085254226,1.8660055841616887,3.0382636694159157,23.57%,54.07%,22.36%
Sassuolo vs. Udinese,2.68,2.7,3.9,2.85,2.45,3.4,0.06,-0.09,-0.13,1.3159818420998095,1.3172238395484446,2.6332056816482545,37.36%,37.01%,25.63%
Cadiz vs. Granada,2.0,5.0,3.34,2.15,3.65,3.25,0.07,-0.27,-0.03,1.2304064975972315,0.6763378441785628,1.9067443417757943,50.02%,20.01%,29.97%
Almeria vs. Osasuna,2.32,3.05,4.16,2.7,2.65,3.25,0.16,-0.13,-0.22,1.7186838110105562,1.4632529962935792,3.1819368073041354,43.15%,32.80%,24.05%
Barcelona vs. Las Palmas,1.29,11.25,7.29,1.28,9.0,6.0,-0.01,-0.2,-0.18,2.8386804817404068,0.8752619797988708,3.713942461539277,77.39%,8.89%,13.72%
Getafe vs. Sevilla,2.32,3.31,3.75,2.45,3.0,3.25,0.06,-0.09,-0.13,1.355952249855875,1.09169828419321,2.447650534049085,43.14%,30.19%,26.67%
Valencia vs. Mallorca,2.07,3.89,3.84,2.15,4.1,3.0,0.04,0.05,-0.22,1.4852322369015214,1.0042400821274746,2.489472319028996,48.27%,25.71%,26.02%
Alaves vs. Real Sociedad,2.61,2.94,3.62,3.3,2.4,3.05,0.26,-0.18,-0.16,1.272120897048171,1.1798078308194708,2.451928727867642,38.34%,34.04%,27.62%
Celta Vigo vs. Rayo Vallecano,2.93,2.74,3.41,2.05,3.8,3.35,-0.3,0.39,-0.02,1.0763820070283063,1.1153341629677826,2.1917161699960888,34.14%,36.52%,29.34%
Girona vs. Real Betis,1.54,6.11,5.29,1.71,4.5,4.0,0.11,-0.26,-0.24,2.218547034127156,1.000473415432666,3.2190204495598214,64.73%,16.37%,18.90%
