Game Matchup,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,Projected Home Goals,Projected Away Goals,Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability
Manchester City vs. Arsenal,5.16,1.88,3.64,1.91,3.75,3.75,-0.63,0.99,0.03,0.7,1.35,2.04,19.38%,53.11%,27.51%
Aston Villa vs. Wolverhampton Wanderers,2.09,2.88,5.7,1.65,4.8,4.3,-0.21,0.66,-0.25,2.79,2.45,5.24,47.78%,34.67%,17.55%
VfB Stuttgart vs. FC Heidenheim,1.7,5.68,4.26,1.29,8.75,6,-0.24,0.54,0.41,1.74,0.81,2.55,58.93%,17.60%,23.47%
Lyon vs. Reims,3.02,2.26,4.43,2.1,3.25,3.7,-0.3,0.44,-0.16,1.49,1.75,3.24,33.13%,44.28%,22.59%
Inter vs. Empoli,1.51,7.77,4.8,1.23,11,6.75,-0.19,0.42,0.41,1.97,0.75,2.72,66.31%,12.87%,20.82%
Tottenham vs. Luton,1.38,7.18,7.4,1.22,10,7.25,-0.11,0.39,-0.02,3.44,1.57,5.01,72.55%,13.93%,13.52%
Getafe vs. Sevilla,2.84,2.34,4.53,2.45,3,3.25,-0.14,0.28,-0.28,1.63,1.8,3.43,35.18%,42.76%,22.06%
Brentford vs. Manchester United,3.97,1.73,5.82,2.95,2.2,3.85,-0.26,0.27,-0.34,2,2.9,4.9,25.18%,57.64%,17.18%
Strasbourg vs. Rennes,4.84,1.8,4.2,3.1,2.25,3.5,-0.36,0.25,-0.17,0.99,1.82,2.81,20.67%,55.53%,23.80%
Clermont Foot vs. Toulouse,4.34,1.86,4.32,3.05,2.3,3.45,-0.3,0.24,-0.2,1.12,1.8,2.93,23.04%,53.79%,23.17%
Sassuolo vs. Udinese,4.25,2,3.79,2.85,2.45,3.4,-0.33,0.23,-0.1,0.91,1.47,2.38,23.52%,50.11%,26.37%
Bochum vs. Darmstadt,2,3.84,4.17,1.69,4.7,4.1,-0.16,0.22,-0.02,1.67,1.14,2.81,49.94%,26.06%,24.00%
Lazio vs. Juventus,3.95,2.12,3.64,3.05,2.45,3.15,-0.23,0.16,-0.13,0.92,1.36,2.27,25.32%,47.22%,27.46%
Newcastle United vs. West Ham,1.87,3.45,5.76,1.83,3.8,4.1,-0.02,0.1,-0.29,3.11,2.38,5.49,53.61%,29.02%,17.37%
Augsburg vs. FC Cologne,2.05,4.14,3.69,1.74,4.5,4,-0.15,0.09,0.08,1.39,0.88,2.27,48.72%,24.17%,27.11%
Lorient vs. Brest,5,1.9,3.67,3.9,2,3.45,-0.22,0.05,-0.06,0.78,1.47,2.24,20.02%,52.71%,27.27%
Alaves vs. Real Sociedad,3.65,2.42,3.2,3.3,2.4,3.05,-0.1,-0.01,-0.05,0.83,1.08,1.92,27.37%,41.37%,31.26%
Lecce vs. Roma,3.76,1.96,4.5,4.2,1.87,3.6,0.12,-0.05,-0.2,1.36,1.97,3.34,26.62%,51.15%,22.23%
Cagliari vs. Verona,2.08,3.9,3.81,2.2,3.45,3.25,0.06,-0.12,-0.15,1.5,1.02,2.52,48.14%,25.61%,26.25%
Celta Vigo vs. Rayo Vallecano,2.5,4.33,2.7,2.05,3.8,3.35,-0.18,-0.12,0.24,0.88,0.59,1.47,39.95%,23.08%,36.97%
Sheffield United vs. Fulham,3.64,1.94,4.79,4.4,1.71,4.2,0.21,-0.12,-0.12,1.51,2.11,3.62,27.48%,51.65%,20.87%
Torino vs. Monza,2.06,5.15,3.13,1.83,4.5,3.5,-0.11,-0.13,0.12,1.14,0.6,1.74,48.63%,19.40%,31.97%
Valencia vs. Mallorca,2.07,4.99,3.17,2.15,4.1,3,0.04,-0.18,-0.05,1.14,0.62,1.76,48.38%,20.05%,31.57%
Werder Bremen vs. Wolfsburg,2.74,3.1,3.2,2.65,2.55,3.6,-0.03,-0.18,0.12,1.01,0.93,1.94,36.48%,32.28%,31.24%
Genoa vs. Frosinone,1.66,4.78,5.27,1.95,3.8,3.6,0.17,-0.21,-0.32,2.35,1.33,3.67,60.13%,20.90%,18.97%
Nice vs. Nantes,1.62,6.78,4.28,1.71,5.2,3.7,0.06,-0.23,-0.14,1.75,0.72,2.46,61.89%,14.75%,23.36%
Bayern Munich vs. Borussia Dortmund,1.46,7.69,5.41,1.43,5.6,5.6,-0.02,-0.27,0.04,2.15,0.8,2.95,68.49%,13.01%,18.50%
Fiorentina vs. AC Milan,2.02,3.62,4.4,2.75,2.55,3.4,0.36,-0.3,-0.23,1.95,1.4,3.34,49.60%,27.66%,22.74%
Bournemouth vs. Everton,1.68,4.9,5.02,2.15,3.25,3.6,0.28,-0.34,-0.28,2.29,1.32,3.62,59.66%,20.42%,19.92%
Cadiz vs. Granada,1.81,5.83,3.62,2.15,3.65,3.25,0.19,-0.37,-0.1,1.4,0.65,2.06,55.25%,17.14%,27.61%
Barcelona vs. Las Palmas,1.22,14.73,8.64,1.28,9,6,0.05,-0.39,-0.31,3.03,0.83,3.86,81.64%,6.79%,11.57%
